nom,latitude,longitude,note,prix,furniture_store,laundry,bakery,cafe,home_goods_store,clothing_store,atm,lodging,night_club,convenience_store,restaurant,bar
Relookitchen,48.8476593,2.2666206,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Ory Toons,48.8654642,2.3524699,1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Calligaris,48.8820905,2.4698287,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
SIG Distribution,48.8160663,2.376952499999999,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
L'état de sièges,48.8894843,2.3858242,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Cuisines AvivA Rosny-sous-bois,48.8819258,2.470052899999999,2.1,-1,1,0,0,0,1,0,0,0,0,0,0,0
Habitat Ameublement Social,48.856164,2.424718,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Rabillé Christophe,48.880195,2.3441681,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Dépôt 1 Conforama Colombes,48.90780519999999,2.2303625,2.4,-1,1,0,0,0,1,0,0,1,0,0,0,0
Distri.mob,48.8775681,2.4708559,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Mooti,48.8707505,2.3090224,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
L'odyssee.,48.82560739999999,2.3326773,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
IHT,48.88083200000001,2.2931952,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Micadho,48.8286753,2.281759,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
iNDEXoFdESiGN,48.87558360000001,2.3022004,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Guegan Et Fils,48.91342100000001,2.2876218,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Perrine Rousseau Paris,48.861251,2.356124,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bourbon Mobilier Collectivités B.M.C,48.888569,2.346001,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Futon Santé,48.8403607,2.2903853,-1.0,-1,1,0,0,0,1,0,0,1,0,0,0,0
Happy Home,48.8363711,2.3263093,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Château d'Ax,48.88140169999999,2.471230799999999,1.1,-1,1,0,0,0,1,0,0,0,0,0,0,0
AU TRESORANTIC,48.9041338,2.338812700000001,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Feuille d'Or et Mercure,48.8348658,2.3017764,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Grandes Cuisines,48.8179635,2.4169518,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Chez Will,48.890916,2.334338,4.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Shoe Case,48.8426406,2.4175737,-1.0,-1,1,0,0,0,1,0,0,1,0,0,0,0
Cherche Midi Droguerie - Bricolage - Cuisine. Ancienne Maison Raclin,48.8489684,2.3250528,4.4,-1,1,0,0,0,1,0,0,0,0,0,0,0
Bambins Déco,48.8329268,2.3250928,2.3,-1,1,0,0,0,1,0,0,1,0,0,0,0
Lambert Françoise,48.81049549999999,2.4144107,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Meubeo,48.908272,2.387748,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Meubles Bois Exotiques,48.8366863,2.401537,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Archea Paris 15ème,48.8424878,2.285231,5.0,-1,1,0,0,0,1,0,0,1,0,0,0,0
Armelle P Créations,48.8153063,2.3448081,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Design & Conseil,48.87932099999999,2.3258283,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Surfaces et Cuisines,48.8840152,2.2892463,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Broquantic,48.8834357,2.3910338,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Décoration tapisserie Henriette Trejtnar,48.842532,2.3133454,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Atelier Robert Leyx,48.8153375,2.4507554,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
MOB CUISINES,48.8657841,2.3655813,3.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Domeau Pérès,48.907136,2.248054,5.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Groupe Paris Meuble,48.8647936,2.3857432,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
Métisse,48.8834683,2.3230932,-1.0,-1,1,0,0,0,1,0,0,0,0,0,0,0
